"Period: 3/2/2023 0:00:00 -  6:45:34"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-3.67"
"0:05"	"0.00"	"-4.00"
"0:10"	"0.00"	"-3.33"
"0:15"	"0.00"	"-3.67"
"0:20"	"0.00"	"-3.67"
"0:25"	"0.00"	"-4.00"
"0:30"	"0.00"	"-3.67"
"0:35"	"0.00"	"-3.67"
"0:40"	"0.00"	"-4.33"
"0:45"	"0.00"	"-4.00"
"0:50"	"0.00"	"-4.00"
"0:55"	"0.00"	"-3.67"
"1:00"	"0.00"	"-3.33"
"1:05"	"0.00"	"-4.00"
"1:10"	"0.00"	"-3.33"
"1:15"	"0.00"	"-3.00"
"1:20"	"0.00"	"-3.00"
"1:25"	"0.00"	"-3.00"
"1:30"	"0.00"	"-3.00"
"1:35"	"0.00"	"-2.67"
"1:40"	"0.00"	"-2.33"
"1:45"	"0.00"	"-3.00"
"1:50"	"0.00"	"-3.00"
"1:55"	"0.00"	"-3.67"
"2:00"	"0.00"	"-3.67"
"2:05"	"0.00"	"-6.00"
"2:10"	"0.00"	"-4.67"
"2:15"	"0.00"	"-4.33"
"2:20"	"0.00"	"-3.33"
"2:25"	"0.00"	"-3.67"
"2:30"	"0.00"	"-3.67"
"2:35"	"0.00"	"-4.33"
"2:40"	"0.00"	"-4.00"
"2:45"	"0.00"	"-3.67"
"2:50"	"0.00"	"-4.00"
"2:55"	"0.00"	"-4.00"
"3:00"	"0.00"	"-4.00"
"3:05"	"0.00"	"-3.67"
"3:10"	"0.00"	"-3.33"
"3:15"	"0.00"	"-3.00"
"3:20"	"0.00"	"-3.33"
"3:25"	"0.00"	"-3.00"
"3:30"	"0.00"	"-3.33"
"3:35"	"0.00"	"-3.00"
"3:40"	"0.00"	"-3.67"
"3:45"	"0.00"	"-3.33"
"3:50"	"0.00"	"-3.33"
"3:55"	"0.00"	"-4.00"
"4:00"	"0.00"	"-4.00"
"4:05"	"0.00"	"-3.67"
"4:10"	"0.00"	"-4.00"
"4:15"	"0.00"	"-4.00"
"4:20"	"0.00"	"-4.33"
"4:25"	"0.00"	"-3.67"
"4:30"	"0.00"	"-4.67"
"4:35"	"0.00"	"-4.67"
"4:40"	"0.00"	"-3.67"
"4:45"	"0.00"	"-3.67"
"4:50"	"0.00"	"-4.00"
"4:55"	"0.00"	"-3.67"
"5:00"	"0.00"	"-4.00"
"5:05"	"0.00"	"-3.67"
"5:10"	"0.00"	"-3.67"
"5:15"	"0.00"	"-3.33"
"5:20"	"0.00"	"-3.33"
"5:25"	"0.00"	"-4.00"
"5:30"	"0.00"	"-3.67"
"5:35"	"0.00"	"-3.67"
"5:40"	"0.00"	"-3.67"
"5:45"	"0.00"	"-3.67"
"5:50"	"0.00"	"-4.00"
"5:55"	"0.00"	"-4.00"
"6:00"	"0.00"	"-4.33"
"6:05"	"0.00"	"-4.33"
"6:10"	"0.00"	"-4.33"
"6:15"	"0.00"	"-3.67"
"6:20"	"0.00"	"-3.33"
"6:25"	"0.00"	"-3.67"
"6:30"	"0.00"	"-4.00"
"6:35"	"0.00"	"-3.00"
"6:40"	"0.00"	"-3.00"
"6:45"	"0.00"	"-2.67"
"6:50"	"0.00"	"-3.00"
"6:55"	"0.00"	"-3.00"
"7:00"	"0.00"	"-3.00"
"7:05"	"0.00"	"-3.00"
"7:10"	"0.00"	"-3.00"
"7:15"	"0.00"	"-2.67"
"7:20"	"0.00"	"-2.67"
"7:25"	"0.01"	"-1.67"
"7:30"	"1.14"	"1.00"
"7:35"	"33.16"	"8.00"
"7:40"	"128.96"	"18.67"
"7:45"	"163.93"	"29.67"
"7:50"	"162.28"	"22.33"
"7:55"	"164.39"	"22.67"
"8:00"	"158.02"	"23.00"
"8:05"	"148.93"	"22.67"
"8:10"	"160.38"	"26.33"
"8:15"	"169.09"	"29.33"
"8:20"	"181.78"	"32.00"
"8:25"	"192.50"	"32.67"
"8:30"	"223.69"	"37.67"
"8:35"	"418.51"	"70.00"
"8:40"	"1325.76"	"213.67"
"8:45"	"1916.53"	"279.67"
"8:50"	"2899.73"	"424.33"
"8:55"	"1461.50"	"208.67"
"9:00"	"716.02"	"93.00"
"9:05"	"663.72"	"87.00"
"9:10"	"595.46"	"79.00"
"9:15"	"688.43"	"87.33"
"9:20"	"989.11"	"120.33"
"9:25"	"983.41"	"125.00"
"9:30"	"786.77"	"107.33"
"9:35"	"730.39"	"101.67"
"9:40"	"1943.44"	"248.67"
"9:45"	"4742.40"	"540.33"
"9:50"	"5383.97"	"651.00"
"9:55"	"5486.90"	"669.33"
