"Period: 1/6/2022 0:00:00 -  21:06:28"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"0.00"
"0:05"	"0.00"	"0.67"
"0:10"	"0.00"	"0.00"
"0:15"	"0.00"	"-0.67"
"0:20"	"0.00"	"-1.00"
"0:25"	"0.00"	"-0.33"
"0:30"	"0.00"	"0.00"
"0:35"	"0.00"	"0.00"
"0:40"	"0.00"	"0.00"
"0:45"	"0.00"	"-0.33"
"0:50"	"0.00"	"0.00"
"0:55"	"0.00"	"-0.33"
"1:00"	"0.00"	"0.00"
"1:05"	"0.00"	"-0.67"
"1:10"	"0.00"	"-0.67"
"1:15"	"0.00"	"0.00"
"1:20"	"0.00"	"0.00"
"1:25"	"0.00"	"0.33"
"1:30"	"0.00"	"-0.33"
"1:35"	"0.00"	"-0.33"
"1:40"	"0.00"	"-0.33"
"1:45"	"0.00"	"-0.33"
"1:50"	"0.00"	"-0.67"
"1:55"	"0.00"	"-0.33"
"2:00"	"0.00"	"-1.00"
"2:05"	"0.00"	"-2.67"
"2:10"	"0.00"	"8.67"
"2:15"	"0.00"	"-2.00"
"2:20"	"0.00"	"-0.33"
"2:25"	"0.00"	"0.00"
"2:30"	"0.00"	"0.00"
"2:35"	"0.00"	"-0.33"
"2:40"	"0.00"	"0.00"
"2:45"	"0.00"	"0.00"
"2:50"	"0.00"	"-0.33"
"2:55"	"0.00"	"-0.33"
"3:00"	"0.00"	"0.00"
"3:05"	"0.00"	"0.00"
"3:10"	"0.00"	"-0.67"
"3:15"	"0.00"	"-0.33"
"3:20"	"0.00"	"-0.33"
"3:25"	"0.00"	"0.00"
"3:30"	"0.00"	"-0.33"
"3:35"	"0.00"	"0.00"
"3:40"	"0.00"	"-0.33"
"3:45"	"0.00"	"-0.33"
"3:50"	"0.00"	"-0.33"
"3:55"	"0.00"	"-0.33"
"4:00"	"0.00"	"-0.67"
"4:05"	"0.00"	"-0.67"
"4:10"	"0.00"	"-0.33"
"4:15"	"0.00"	"-1.00"
"4:20"	"0.00"	"-1.00"
"4:25"	"0.00"	"-0.67"
"4:30"	"0.00"	"-1.00"
"4:35"	"0.00"	"-1.00"
"4:40"	"0.00"	"-0.67"
"4:45"	"0.00"	"-0.67"
"4:50"	"0.00"	"-1.00"
"4:55"	"0.00"	"-0.67"
"5:00"	"0.00"	"-0.67"
"5:05"	"0.00"	"-0.67"
"5:10"	"0.00"	"-0.67"
"5:15"	"0.00"	"-0.33"
"5:20"	"0.00"	"-0.67"
"5:25"	"0.00"	"0.00"
"5:30"	"0.00"	"0.00"
"5:35"	"0.11"	"1.33"
"5:40"	"3.67"	"3.00"
"5:45"	"15.88"	"5.67"
"5:50"	"32.54"	"8.00"
"5:55"	"51.64"	"10.67"
"6:00"	"74.87"	"14.33"
"6:05"	"101.15"	"18.33"
"6:10"	"126.04"	"22.33"
"6:15"	"149.66"	"26.00"
"6:20"	"173.62"	"29.33"
"6:25"	"198.43"	"34.00"
"6:30"	"221.05"	"37.33"
"6:35"	"242.93"	"40.67"
"6:40"	"261.49"	"43.67"
"6:45"	"281.11"	"47.67"
"6:50"	"313.62"	"54.00"
"6:55"	"359.96"	"63.33"
"7:00"	"418.43"	"74.00"
"7:05"	"487.31"	"85.33"
"7:10"	"569.58"	"97.00"
"7:15"	"665.82"	"112.00"
"7:20"	"761.53"	"126.00"
"7:25"	"857.95"	"144.67"
"7:30"	"971.52"	"161.33"
"7:35"	"1108.57"	"173.00"
"7:40"	"1251.17"	"186.33"
"7:45"	"1398.37"	"202.33"
"7:50"	"1539.37"	"218.33"
"7:55"	"1688.96"	"236.00"
"8:00"	"1847.02"	"253.00"
"8:05"	"2003.33"	"268.67"
"8:10"	"2159.02"	"287.67"
"8:15"	"2315.59"	"305.67"
"8:20"	"2469.32"	"322.67"
"8:25"	"2616.62"	"339.00"
"8:30"	"2757.70"	"356.00"
"8:35"	"2903.94"	"375.00"
"8:40"	"3045.92"	"393.67"
"8:45"	"3181.14"	"411.00"
"8:50"	"3335.90"	"430.00"
"8:55"	"3481.76"	"448.67"
"9:00"	"3619.13"	"465.67"
"9:05"	"3756.10"	"484.00"
"9:10"	"3870.48"	"501.00"
"9:15"	"3992.26"	"517.33"
"9:20"	"4113.10"	"534.00"
"9:25"	"4238.53"	"550.00"
"9:30"	"4374.90"	"567.67"
"9:35"	"4475.80"	"583.33"
"9:40"	"4594.10"	"600.33"
"9:45"	"4710.77"	"617.67"
"9:50"	"4822.19"	"635.67"
"9:55"	"4919.72"	"649.00"
"10:00"	"5045.62"	"666.33"
"10:05"	"5149.82"	"681.67"
"10:10"	"5260.39"	"699.67"
"10:15"	"5377.50"	"715.00"
"10:20"	"5455.27"	"728.00"
"10:25"	"5516.38"	"739.33"
"10:30"	"5609.00"	"753.33"
"10:35"	"5697.00"	"768.00"
"10:40"	"5790.05"	"782.00"
"10:45"	"5870.21"	"795.33"
"10:50"	"5934.29"	"806.00"
"10:55"	"6016.27"	"818.67"
"11:00"	"6083.70"	"832.67"
"11:05"	"6186.92"	"849.67"
"11:10"	"6238.16"	"860.33"
"11:15"	"6281.23"	"871.33"
"11:20"	"6357.48"	"883.00"
"11:25"	"6432.83"	"896.00"
"11:30"	"6489.23"	"905.33"
"11:35"	"6532.67"	"914.33"
"11:40"	"6580.28"	"922.00"
"11:45"	"6634.94"	"932.00"
"11:50"	"6668.35"	"940.33"
"11:55"	"6709.24"	"950.00"
"12:00"	"6717.60"	"947.00"
"12:05"	"6744.90"	"952.00"
"12:10"	"6758.42"	"963.00"
"12:15"	"6834.62"	"973.00"
"12:20"	"6904.28"	"984.33"
"12:25"	"6943.98"	"990.67"
"12:30"	"6946.00"	"991.00"
"12:35"	"6945.61"	"996.33"
"12:40"	"6941.78"	"998.00"
"12:45"	"6962.78"	"996.33"
"12:50"	"7014.83"	"1008.33"
"12:55"	"7010.84"	"1011.33"
"13:00"	"6996.37"	"1009.67"
"13:05"	"7030.46"	"1015.00"
"13:10"	"6976.07"	"1008.33"
"13:15"	"6863.44"	"989.00"
"13:20"	"6713.50"	"956.33"
"13:25"	"7124.60"	"1022.00"
"13:30"	"7089.37"	"1024.00"
"13:35"	"7015.69"	"1015.00"
"13:40"	"7036.33"	"1021.00"
"13:45"	"6989.63"	"1014.67"
"13:50"	"6801.17"	"1005.33"
"13:55"	"6945.78"	"1002.33"
"14:00"	"6680.22"	"978.33"
"14:05"	"7108.73"	"1026.67"
"14:10"	"7323.29"	"1062.33"
"14:15"	"6310.94"	"959.33"
"14:20"	"5503.79"	"789.00"
"14:25"	"4530.30"	"632.33"
"14:30"	"6529.43"	"886.00"
"14:35"	"7126.81"	"1016.33"
"14:40"	"7081.58"	"1013.67"
"14:45"	"6726.79"	"953.67"
"14:50"	"6500.06"	"923.00"
"14:55"	"6430.38"	"925.33"
"15:00"	"3432.88"	"590.00"
"15:05"	"5400.91"	"706.00"
"15:10"	"2380.78"	"416.33"
"15:15"	"5684.40"	"698.67"
"15:20"	"5858.93"	"784.67"
"15:25"	"6420.68"	"874.33"
"15:30"	"6213.06"	"855.67"
"15:35"	"5891.41"	"812.67"
"15:40"	"5393.57"	"737.00"
"15:45"	"5665.79"	"762.33"
"15:50"	"5710.46"	"793.67"
"15:55"	"5381.94"	"707.00"
"16:00"	"4961.24"	"678.67"
"16:05"	"4818.62"	"655.33"
"16:10"	"4682.38"	"623.67"
"16:15"	"3320.98"	"476.33"
"16:20"	"3459.84"	"422.33"
"16:25"	"5213.39"	"657.67"
"16:30"	"5275.82"	"698.00"
"16:35"	"5391.90"	"715.67"
"16:40"	"5338.36"	"715.67"
"16:45"	"5224.12"	"702.00"
