"Period: 21/11/2022 0:00:00 -  7:10:29"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"563.00"
"0:05"	"0.00"	"563.00"
"0:10"	"0.00"	"563.33"
"0:15"	"0.00"	"563.00"
"0:20"	"0.00"	"563.00"
"0:25"	"0.00"	"563.00"
"0:30"	"0.00"	"563.33"
"0:35"	"0.00"	"563.33"
"0:40"	"0.00"	"563.33"
"0:45"	"0.00"	"563.00"
"0:50"	"0.00"	"563.33"
"0:55"	"0.00"	"563.00"
"1:00"	"0.00"	"563.00"
"1:05"	"0.00"	"563.33"
"1:10"	"0.00"	"563.00"
"1:15"	"0.00"	"563.00"
"1:20"	"0.00"	"563.00"
"1:25"	"0.00"	"563.00"
"1:30"	"0.00"	"563.00"
"1:35"	"0.00"	"563.00"
"1:40"	"0.00"	"563.33"
"1:45"	"0.00"	"563.33"
"1:50"	"0.00"	"563.00"
"1:55"	"0.00"	"563.00"
"2:00"	"0.00"	"563.67"
"2:05"	"0.00"	"561.00"
"2:10"	"0.00"	"561.33"
"2:15"	"0.00"	"562.00"
"2:20"	"0.00"	"563.00"
"2:25"	"0.00"	"563.33"
"2:30"	"0.00"	"563.00"
"2:35"	"0.00"	"563.00"
"2:40"	"0.00"	"563.00"
"2:45"	"0.00"	"562.67"
"2:50"	"0.00"	"563.33"
"2:55"	"0.00"	"563.33"
"3:00"	"0.00"	"563.33"
"3:05"	"0.00"	"563.33"
"3:10"	"0.00"	"563.00"
"3:15"	"0.00"	"563.33"
"3:20"	"0.00"	"563.00"
"3:25"	"0.00"	"563.00"
"3:30"	"0.00"	"563.00"
"3:35"	"0.00"	"563.00"
"3:40"	"0.00"	"563.33"
"3:45"	"0.00"	"563.00"
"3:50"	"0.00"	"563.00"
"3:55"	"0.00"	"562.67"
"4:00"	"0.00"	"562.67"
"4:05"	"0.00"	"563.33"
"4:10"	"0.00"	"563.00"
"4:15"	"0.00"	"562.67"
"4:20"	"0.00"	"562.67"
"4:25"	"0.00"	"563.00"
"4:30"	"0.00"	"563.00"
"4:35"	"0.00"	"563.00"
"4:40"	"0.00"	"562.67"
"4:45"	"0.00"	"563.00"
"4:50"	"0.00"	"562.67"
"4:55"	"0.00"	"563.00"
"5:00"	"0.00"	"563.00"
"5:05"	"0.00"	"563.33"
"5:10"	"0.00"	"563.00"
"5:15"	"0.00"	"563.33"
"5:20"	"0.00"	"562.33"
"5:25"	"0.00"	"562.67"
"5:30"	"0.00"	"562.67"
"5:35"	"0.00"	"563.00"
"5:40"	"0.00"	"562.67"
"5:45"	"0.00"	"563.00"
"5:50"	"0.00"	"562.67"
"5:55"	"0.00"	"562.67"
"6:00"	"0.00"	"563.00"
"6:05"	"0.00"	"562.67"
"6:10"	"0.00"	"563.00"
"6:15"	"0.00"	"562.67"
"6:20"	"0.00"	"563.00"
"6:25"	"0.00"	"562.33"
"6:30"	"0.00"	"562.67"
"6:35"	"0.00"	"562.67"
"6:40"	"0.00"	"562.33"
"6:45"	"0.00"	"563.00"
"6:50"	"0.00"	"562.67"
"6:55"	"0.00"	"562.67"
"7:00"	"0.00"	"562.33"
"7:05"	"0.00"	"562.67"
"7:10"	"0.00"	"562.33"
"7:15"	"0.00"	"562.67"
"7:20"	"0.00"	"563.00"
"7:25"	"0.00"	"563.33"
"7:30"	"0.18"	"565.33"
"7:35"	"3.68"	"566.00"
"7:40"	"24.74"	"568.00"
"7:45"	"68.82"	"571.33"
"7:50"	"90.85"	"573.00"
"7:55"	"113.41"	"575.00"
"8:00"	"157.21"	"578.67"
"8:05"	"229.58"	"583.67"
"8:10"	"317.99"	"591.00"
"8:15"	"493.34"	"603.00"
"8:20"	"636.42"	"613.67"
"8:25"	"390.13"	"602.00"
"8:30"	"384.96"	"596.00"
"8:35"	"660.12"	"614.00"
"8:40"	"954.59"	"637.67"
"8:45"	"757.51"	"626.67"
"8:50"	"584.81"	"611.33"
"8:55"	"506.63"	"605.67"
"9:00"	"571.44"	"610.67"
"9:05"	"516.76"	"606.67"
"9:10"	"612.54"	"610.00"
"9:15"	"693.13"	"618.33"
"9:20"	"636.49"	"616.33"
"9:25"	"722.53"	"623.00"
"9:30"	"716.83"	"624.00"
"9:35"	"746.20"	"621.67"
"9:40"	"543.65"	"608.33"
"9:45"	"420.30"	"597.67"
"9:50"	"256.93"	"586.67"
"9:55"	"258.74"	"586.33"
"10:00"	"344.30"	"591.00"
"10:05"	"418.55"	"598.00"
"10:10"	"369.91"	"592.67"
"10:15"	"389.46"	"594.00"
"10:20"	"260.04"	"586.33"
"10:25"	"124.67"	"575.33"
"10:30"	"99.18"	"573.33"
"10:35"	"115.79"	"573.33"
"10:40"	"522.10"	"599.67"
"10:45"	"857.21"	"629.33"
"10:50"	"496.25"	"604.33"
"10:55"	"361.31"	"593.67"
"11:00"	"341.38"	"592.33"
"11:05"	"354.48"	"592.33"
"11:10"	"273.22"	"587.00"
"11:15"	"185.34"	"581.67"
"11:20"	"214.21"	"579.67"
"11:25"	"316.19"	"587.00"
"11:30"	"398.50"	"595.67"
"11:35"	"427.49"	"597.33"
"11:40"	"515.35"	"602.33"
"11:45"	"682.34"	"611.67"
"11:50"	"1150.04"	"644.00"
"11:55"	"1438.36"	"673.33"
"12:00"	"1147.88"	"651.67"
"12:05"	"1116.92"	"649.00"
"12:10"	"1047.12"	"648.33"
"12:15"	"904.09"	"635.67"
"12:20"	"832.82"	"626.67"
"12:25"	"942.04"	"638.67"
"12:30"	"545.63"	"609.00"
