"Period: 13/5/2023 0:00:00 -  6:52:11"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-0.33"
"0:05"	"0.00"	"-0.67"
"0:10"	"0.00"	"-1.33"
"0:15"	"0.00"	"-1.00"
"0:20"	"0.00"	"-1.33"
"0:25"	"0.00"	"-1.67"
"0:30"	"0.00"	"-1.00"
"0:35"	"0.00"	"-0.67"
"0:40"	"0.00"	"-0.67"
"0:45"	"0.00"	"-1.33"
"0:50"	"0.00"	"-1.33"
"0:55"	"0.00"	"-1.33"
"1:00"	"0.00"	"-1.33"
"1:05"	"0.00"	"-1.00"
"1:10"	"0.00"	"-1.00"
"1:15"	"0.00"	"-1.00"
"1:20"	"0.00"	"-1.00"
"1:25"	"0.00"	"-1.33"
"1:30"	"0.00"	"-1.00"
"1:35"	"0.00"	"-0.67"
"1:40"	"0.00"	"-0.67"
"1:45"	"0.00"	"-1.67"
"1:50"	"0.00"	"-1.00"
"1:55"	"0.00"	"-1.33"
"2:00"	"0.00"	"-1.00"
"2:05"	"0.00"	"-3.33"
"2:10"	"0.00"	"8.33"
"2:15"	"0.00"	"-2.00"
"2:20"	"0.00"	"-1.00"
"2:25"	"0.00"	"-0.67"
"2:30"	"0.00"	"-1.00"
"2:35"	"0.00"	"-1.00"
"2:40"	"0.00"	"-2.00"
"2:45"	"0.00"	"-1.67"
"2:50"	"0.00"	"-2.00"
"2:55"	"0.00"	"-2.00"
"3:00"	"0.00"	"-1.67"
"3:05"	"0.00"	"-1.33"
"3:10"	"0.00"	"-1.33"
"3:15"	"0.00"	"-1.00"
"3:20"	"0.00"	"-1.00"
"3:25"	"0.00"	"-1.67"
"3:30"	"0.00"	"-0.67"
"3:35"	"0.00"	"-1.67"
"3:40"	"0.00"	"-1.00"
"3:45"	"0.00"	"-1.33"
"3:50"	"0.00"	"-1.00"
"3:55"	"0.00"	"-2.00"
"4:00"	"0.00"	"-2.67"
"4:05"	"0.00"	"-2.67"
"4:10"	"0.00"	"-3.00"
"4:15"	"0.00"	"-2.67"
"4:20"	"0.00"	"-3.67"
"4:25"	"0.00"	"-3.33"
"4:30"	"0.00"	"-3.00"
"4:35"	"0.00"	"-3.33"
"4:40"	"0.00"	"-3.67"
"4:45"	"0.00"	"-3.00"
"4:50"	"0.00"	"-2.67"
"4:55"	"0.00"	"-3.67"
"5:00"	"0.00"	"-2.67"
"5:05"	"0.00"	"-2.67"
"5:10"	"0.00"	"-2.67"
"5:15"	"0.00"	"-3.00"
"5:20"	"0.00"	"-2.67"
"5:25"	"0.00"	"-2.67"
"5:30"	"0.00"	"-2.33"
"5:35"	"0.00"	"-3.00"
"5:40"	"0.00"	"-2.00"
"5:45"	"0.00"	"-2.00"
"5:50"	"0.00"	"-1.00"
"5:55"	"0.04"	"-1.00"
"6:00"	"0.29"	"1.33"
"6:05"	"10.15"	"3.67"
"6:10"	"29.22"	"6.67"
"6:15"	"50.26"	"9.33"
"6:20"	"75.96"	"12.67"
"6:25"	"112.24"	"17.67"
"6:30"	"159.52"	"24.00"
"6:35"	"204.88"	"28.33"
"6:40"	"223.57"	"30.67"
"6:45"	"238.28"	"32.33"
"6:50"	"265.64"	"35.33"
"6:55"	"300.25"	"39.00"
"7:00"	"339.67"	"44.00"
"7:05"	"399.35"	"50.67"
"7:10"	"474.88"	"59.67"
"7:15"	"553.70"	"67.67"
"7:20"	"617.42"	"75.00"
"7:25"	"561.14"	"70.67"
"7:30"	"492.28"	"62.33"
"7:35"	"522.65"	"64.33"
"7:40"	"559.01"	"68.00"
"7:45"	"540.98"	"66.00"
"7:50"	"530.42"	"65.67"
"7:55"	"545.48"	"66.00"
"8:00"	"562.94"	"67.00"
"8:05"	"605.98"	"71.33"
"8:10"	"606.59"	"72.33"
"8:15"	"581.98"	"70.00"
"8:20"	"631.91"	"73.67"
"8:25"	"729.66"	"85.00"
"8:30"	"804.58"	"94.33"
"8:35"	"946.67"	"111.00"
"8:40"	"1097.56"	"129.67"
"8:45"	"1139.15"	"137.67"
"8:50"	"1072.86"	"131.00"
"8:55"	"1004.51"	"123.33"
"9:00"	"1069.06"	"128.00"
"9:05"	"1294.93"	"153.00"
"9:10"	"1488.42"	"173.67"
