"Period: 6/12/2022 0:00:00 -  7:12:04"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-0.67"
"0:05"	"0.00"	"562.33"
"0:10"	"0.00"	"562.33"
"0:15"	"0.00"	"563.00"
"0:20"	"0.00"	"562.67"
"0:25"	"0.00"	"562.67"
"0:30"	"0.00"	"562.67"
"0:35"	"0.00"	"562.67"
"0:40"	"0.00"	"562.67"
"0:45"	"0.00"	"562.67"
"0:50"	"0.00"	"563.00"
"0:55"	"0.00"	"562.67"
"1:00"	"0.00"	"562.67"
"1:05"	"0.00"	"562.67"
"1:10"	"0.00"	"562.67"
"1:15"	"0.00"	"562.33"
"1:20"	"0.00"	"563.00"
"1:25"	"0.00"	"562.67"
"1:30"	"0.00"	"562.67"
"1:35"	"0.00"	"562.33"
"1:40"	"0.00"	"562.67"
"1:45"	"0.00"	"563.00"
"1:50"	"0.00"	"563.00"
"1:55"	"0.00"	"563.00"
"2:00"	"0.00"	"562.33"
"2:05"	"0.00"	"587.67"
"2:10"	"0.00"	"549.67"
"2:15"	"0.00"	"561.33"
"2:20"	"0.00"	"562.67"
"2:25"	"0.00"	"562.33"
"2:30"	"0.00"	"562.33"
"2:35"	"0.00"	"562.33"
"2:40"	"0.00"	"562.67"
"2:45"	"0.00"	"562.33"
"2:50"	"0.00"	"562.33"
"2:55"	"0.00"	"562.67"
"3:00"	"0.00"	"562.33"
"3:05"	"0.00"	"562.33"
"3:10"	"0.00"	"562.33"
"3:15"	"0.00"	"562.67"
"3:20"	"0.00"	"562.33"
"3:25"	"0.00"	"562.33"
"3:30"	"0.00"	"562.33"
"3:35"	"0.00"	"562.33"
"3:40"	"0.00"	"562.67"
"3:45"	"0.00"	"562.33"
"3:50"	"0.00"	"562.67"
"3:55"	"0.00"	"562.67"
"4:00"	"0.00"	"562.33"
"4:05"	"0.00"	"562.67"
"4:10"	"0.00"	"562.33"
"4:15"	"0.00"	"562.67"
"4:20"	"0.00"	"562.67"
"4:25"	"0.00"	"562.00"
"4:30"	"0.00"	"562.33"
"4:35"	"0.00"	"562.33"
"4:40"	"0.00"	"562.33"
"4:45"	"0.00"	"562.67"
"4:50"	"0.00"	"562.33"
"4:55"	"0.00"	"562.33"
"5:00"	"0.00"	"562.67"
"5:05"	"0.00"	"562.33"
"5:10"	"0.00"	"562.67"
"5:15"	"0.00"	"562.67"
"5:20"	"0.00"	"562.33"
"5:25"	"0.00"	"563.00"
"5:30"	"0.00"	"563.00"
"5:35"	"0.00"	"562.67"
"5:40"	"0.00"	"563.00"
"5:45"	"0.00"	"562.33"
"5:50"	"0.00"	"562.67"
"5:55"	"0.00"	"563.00"
"6:00"	"0.00"	"562.67"
"6:05"	"0.00"	"562.67"
"6:10"	"0.00"	"562.67"
"6:15"	"0.00"	"562.67"
"6:20"	"0.00"	"562.67"
"6:25"	"0.00"	"562.67"
"6:30"	"0.00"	"563.00"
"6:35"	"0.00"	"562.67"
"6:40"	"0.00"	"562.67"
"6:45"	"0.00"	"562.67"
"6:50"	"0.00"	"562.33"
"6:55"	"0.00"	"563.00"
"7:00"	"0.00"	"562.67"
"7:05"	"0.00"	"562.67"
"7:10"	"0.00"	"562.67"
"7:15"	"0.00"	"562.67"
"7:20"	"0.00"	"563.00"
"7:25"	"0.00"	"562.67"
"7:30"	"0.00"	"562.67"
"7:35"	"0.00"	"562.67"
"7:40"	"0.00"	"563.00"
"7:45"	"0.01"	"563.33"
"7:50"	"0.06"	"563.67"
"7:55"	"1.03"	"564.67"
"8:00"	"8.38"	"566.00"
"8:05"	"19.69"	"567.00"
"8:10"	"29.63"	"567.67"
"8:15"	"36.65"	"568.67"
"8:20"	"49.26"	"570.00"
"8:25"	"50.41"	"569.67"
"8:30"	"61.73"	"570.33"
"8:35"	"91.99"	"573.00"
"8:40"	"135.77"	"576.67"
"8:45"	"168.40"	"579.67"
"8:50"	"156.07"	"579.67"
"8:55"	"171.24"	"580.00"
"9:00"	"180.14"	"580.00"
"9:05"	"187.26"	"581.00"
"9:10"	"208.81"	"582.33"
"9:15"	"195.67"	"582.00"
"9:20"	"176.82"	"580.33"
"9:25"	"161.34"	"578.33"
"9:30"	"167.46"	"578.33"
"9:35"	"184.44"	"579.67"
"9:40"	"216.19"	"581.67"
"9:45"	"233.44"	"583.67"
"9:50"	"213.50"	"581.00"
"9:55"	"199.49"	"580.00"
"10:00"	"189.96"	"580.00"
"10:05"	"213.12"	"582.00"
"10:10"	"226.85"	"583.00"
"10:15"	"235.01"	"583.33"
"10:20"	"260.81"	"586.00"
"10:25"	"294.86"	"587.67"
"10:30"	"272.28"	"585.33"
"10:35"	"256.22"	"585.00"
"10:40"	"278.56"	"587.33"
"10:45"	"247.73"	"585.00"
"10:50"	"267.61"	"586.33"
"10:55"	"284.98"	"587.33"
"11:00"	"281.59"	"586.00"
"11:05"	"280.42"	"586.00"
"11:10"	"266.44"	"586.33"
"11:15"	"280.48"	"586.00"
"11:20"	"273.85"	"586.00"
"11:25"	"294.52"	"587.00"
"11:30"	"329.70"	"589.33"
"11:35"	"354.06"	"591.00"
"11:40"	"404.59"	"594.67"
"11:45"	"422.99"	"595.00"
"11:50"	"399.36"	"593.67"
"11:55"	"430.00"	"595.67"
"12:00"	"366.62"	"593.67"
"12:05"	"345.43"	"591.33"
"12:10"	"321.96"	"588.33"
"12:15"	"330.47"	"588.67"
"12:20"	"350.42"	"592.67"
"12:25"	"321.59"	"589.00"
"12:30"	"338.44"	"591.00"
"12:35"	"347.63"	"591.00"
"12:40"	"354.22"	"590.33"
"12:45"	"382.60"	"594.33"
"12:50"	"423.71"	"595.33"
"12:55"	"463.40"	"600.00"
"13:00"	"453.29"	"599.67"
"13:05"	"473.60"	"600.00"
"13:10"	"429.42"	"597.67"
"13:15"	"515.95"	"602.67"
"13:20"	"511.63"	"604.33"
"13:25"	"624.19"	"610.00"
"13:30"	"618.72"	"611.00"
"13:35"	"570.86"	"609.33"
"13:40"	"597.79"	"613.33"
"13:45"	"576.78"	"608.00"
"13:50"	"656.38"	"618.33"
"13:55"	"718.85"	"619.67"
"14:00"	"795.31"	"623.67"
"14:05"	"843.35"	"624.33"
"14:10"	"808.58"	"626.00"
"14:15"	"575.04"	"609.67"
"14:20"	"445.93"	"601.33"
"14:25"	"632.48"	"615.33"
"14:30"	"786.72"	"625.33"
"14:35"	"631.46"	"613.00"
"14:40"	"358.74"	"590.67"
"14:45"	"210.26"	"581.33"
"14:50"	"132.01"	"577.67"
"14:55"	"107.69"	"576.00"
"15:00"	"152.82"	"577.33"
"15:05"	"187.06"	"580.00"
"15:10"	"191.59"	"581.00"
"15:15"	"152.27"	"578.00"
"15:20"	"119.21"	"575.33"
"15:25"	"102.50"	"574.00"
"15:30"	"84.40"	"572.67"
"15:35"	"71.78"	"572.33"
