"Period: 11/12/2022 0:00:00 -  7:12:20"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-0.33"
"0:05"	"0.00"	"562.67"
"0:10"	"0.00"	"563.00"
"0:15"	"0.00"	"562.67"
"0:20"	"0.00"	"562.67"
"0:25"	"0.00"	"563.00"
"0:30"	"0.00"	"563.00"
"0:35"	"0.00"	"563.00"
"0:40"	"0.00"	"562.67"
"0:45"	"0.00"	"562.67"
"0:50"	"0.00"	"563.00"
"0:55"	"0.00"	"562.67"
"1:00"	"0.00"	"562.67"
"1:05"	"0.00"	"562.67"
"1:10"	"0.00"	"563.00"
"1:15"	"0.00"	"563.00"
"1:20"	"0.00"	"563.00"
"1:25"	"0.00"	"562.67"
"1:30"	"0.00"	"563.33"
"1:35"	"0.00"	"563.33"
"1:40"	"0.00"	"563.00"
"1:45"	"0.00"	"562.67"
"1:50"	"0.00"	"563.00"
"1:55"	"0.00"	"562.67"
"2:00"	"0.00"	"563.00"
"2:05"	"0.00"	"589.00"
"2:10"	"0.00"	"561.33"
"2:15"	"0.00"	"562.00"
"2:20"	"0.00"	"563.33"
"2:25"	"0.00"	"563.67"
"2:30"	"0.00"	"563.00"
"2:35"	"0.00"	"562.67"
"2:40"	"0.00"	"563.00"
"2:45"	"0.00"	"563.33"
"2:50"	"0.00"	"563.33"
"2:55"	"0.00"	"563.33"
"3:00"	"0.00"	"563.33"
"3:05"	"0.00"	"563.33"
"3:10"	"0.00"	"563.00"
"3:15"	"0.00"	"563.00"
"3:20"	"0.00"	"562.67"
"3:25"	"0.00"	"563.00"
"3:30"	"0.00"	"562.67"
"3:35"	"0.00"	"563.33"
"3:40"	"0.00"	"562.67"
"3:45"	"0.00"	"563.00"
"3:50"	"0.00"	"563.00"
"3:55"	"0.00"	"563.00"
"4:00"	"0.00"	"563.33"
"4:05"	"0.00"	"563.00"
"4:10"	"0.00"	"563.00"
"4:15"	"0.00"	"563.00"
"4:20"	"0.00"	"563.33"
"4:25"	"0.00"	"563.33"
"4:30"	"0.00"	"563.33"
"4:35"	"0.00"	"563.33"
"4:40"	"0.00"	"563.00"
"4:45"	"0.00"	"563.33"
"4:50"	"0.00"	"563.33"
"4:55"	"0.00"	"563.00"
"5:00"	"0.00"	"563.00"
"5:05"	"0.00"	"563.00"
"5:10"	"0.00"	"563.33"
"5:15"	"0.00"	"563.00"
"5:20"	"0.00"	"562.67"
"5:25"	"0.00"	"562.67"
"5:30"	"0.00"	"562.67"
"5:35"	"0.00"	"562.67"
"5:40"	"0.00"	"562.67"
"5:45"	"0.00"	"562.67"
"5:50"	"0.00"	"562.67"
"5:55"	"0.00"	"563.00"
"6:00"	"0.00"	"563.33"
"6:05"	"0.00"	"563.33"
"6:10"	"0.00"	"563.00"
"6:15"	"0.00"	"563.00"
"6:20"	"0.00"	"563.33"
"6:25"	"0.00"	"563.00"
"6:30"	"0.00"	"563.00"
"6:35"	"0.00"	"563.33"
"6:40"	"0.00"	"563.00"
"6:45"	"0.00"	"563.33"
"6:50"	"0.00"	"563.33"
"6:55"	"0.00"	"563.00"
"7:00"	"0.00"	"563.00"
"7:05"	"0.00"	"563.00"
"7:10"	"0.00"	"563.00"
"7:15"	"0.00"	"563.00"
"7:20"	"0.00"	"563.00"
"7:25"	"0.00"	"563.33"
"7:30"	"0.00"	"563.67"
"7:35"	"0.00"	"563.67"
"7:40"	"0.00"	"563.33"
"7:45"	"0.00"	"563.67"
"7:50"	"0.00"	"564.00"
"7:55"	"0.00"	"564.33"
"8:00"	"0.20"	"565.00"
"8:05"	"2.82"	"566.33"
"8:10"	"30.52"	"569.33"
"8:15"	"73.43"	"572.00"
"8:20"	"99.41"	"574.33"
"8:25"	"99.88"	"575.00"
"8:30"	"111.36"	"575.67"
"8:35"	"181.92"	"580.67"
"8:40"	"278.53"	"588.00"
"8:45"	"342.40"	"593.00"
"8:50"	"350.56"	"594.00"
"8:55"	"375.74"	"596.33"
