"Period: 14/10/2023 0:00:00 -  7:07:17"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-1.33"
"0:05"	"0.00"	"-2.00"
"0:10"	"0.00"	"-1.67"
"0:15"	"0.00"	"-1.67"
"0:20"	"0.00"	"-1.00"
"0:25"	"0.00"	"-1.00"
"0:30"	"0.00"	"-1.00"
"0:35"	"0.00"	"-1.33"
"0:40"	"0.00"	"-1.33"
"0:45"	"0.00"	"-1.67"
"0:50"	"0.00"	"-1.33"
"0:55"	"0.00"	"-2.33"
"1:00"	"0.00"	"-2.33"
"1:05"	"0.00"	"-1.67"
"1:10"	"0.00"	"-2.00"
"1:15"	"0.00"	"-2.33"
"1:20"	"0.00"	"-1.67"
"1:25"	"0.00"	"-2.00"
"1:30"	"0.00"	"-1.67"
"1:35"	"0.00"	"-1.33"
"1:40"	"0.00"	"-1.00"
"1:45"	"0.00"	"-1.33"
"1:50"	"0.00"	"-1.67"
"1:55"	"0.00"	"-1.33"
"2:00"	"0.00"	"-1.67"
"2:05"	"0.00"	"-3.67"
"2:10"	"0.00"	"-2.33"
"2:15"	"0.00"	"-3.00"
"2:20"	"0.00"	"-2.00"
"2:25"	"0.00"	"-2.00"
"2:30"	"0.00"	"-2.00"
"2:35"	"0.00"	"-2.33"
"2:40"	"0.00"	"-1.67"
"2:45"	"0.00"	"-2.00"
"2:50"	"0.00"	"-2.33"
"2:55"	"0.00"	"-2.00"
"3:00"	"0.00"	"-2.00"
"3:05"	"0.00"	"-1.33"
"3:10"	"0.00"	"-2.00"
"3:15"	"0.00"	"-2.00"
"3:20"	"0.00"	"-2.33"
"3:25"	"0.00"	"-2.00"
"3:30"	"0.00"	"-1.67"
"3:35"	"0.00"	"-1.67"
"3:40"	"0.00"	"-1.33"
"3:45"	"0.00"	"-1.67"
"3:50"	"0.00"	"-1.00"
"3:55"	"0.00"	"-2.00"
"4:00"	"0.00"	"-1.33"
"4:05"	"0.00"	"-1.67"
"4:10"	"0.00"	"-2.33"
"4:15"	"0.00"	"-2.33"
"4:20"	"0.00"	"-2.00"
"4:25"	"0.00"	"-2.00"
"4:30"	"0.00"	"-2.00"
"4:35"	"0.00"	"-2.00"
"4:40"	"0.00"	"-1.33"
"4:45"	"0.00"	"-1.33"
"4:50"	"0.00"	"-0.33"
"4:55"	"0.00"	"-1.00"
"5:00"	"0.00"	"-1.00"
"5:05"	"0.00"	"-1.33"
"5:10"	"0.00"	"-1.00"
"5:15"	"0.00"	"-1.00"
"5:20"	"0.00"	"-1.67"
"5:25"	"0.00"	"-1.67"
"5:30"	"0.00"	"-1.67"
"5:35"	"0.00"	"-2.00"
"5:40"	"0.00"	"-1.67"
"5:45"	"0.00"	"-2.00"
"5:50"	"0.00"	"-2.00"
"5:55"	"0.00"	"-1.67"
"6:00"	"0.00"	"-2.00"
"6:05"	"0.00"	"-2.00"
"6:10"	"0.00"	"-1.67"
"6:15"	"0.00"	"-1.67"
"6:20"	"0.00"	"-2.00"
"6:25"	"0.00"	"-2.67"
"6:30"	"0.00"	"-2.33"
"6:35"	"0.00"	"-2.67"
"6:40"	"0.00"	"-2.00"
"6:45"	"0.00"	"-1.67"
"6:50"	"0.00"	"-1.67"
"6:55"	"0.00"	"-1.67"
"7:00"	"0.00"	"-1.67"
"7:05"	"0.00"	"-2.00"
"7:10"	"0.00"	"-1.33"
"7:15"	"0.00"	"-1.33"
"7:20"	"0.00"	"-1.00"
"7:25"	"0.16"	"-0.00"
"7:30"	"0.72"	"1.00"
"7:35"	"7.78"	"3.67"
"7:40"	"27.54"	"7.00"
"7:45"	"60.43"	"15.00"
"7:50"	"110.38"	"24.67"
"7:55"	"180.90"	"38.00"
"8:00"	"265.85"	"53.00"
"8:05"	"368.63"	"69.00"
"8:10"	"508.84"	"86.67"
"8:15"	"658.97"	"104.00"
"8:20"	"798.66"	"121.33"
"8:25"	"945.24"	"139.67"
"8:30"	"1098.53"	"158.67"
"8:35"	"1252.24"	"177.67"
"8:40"	"1414.93"	"198.33"
"8:45"	"1570.14"	"217.67"
"8:50"	"1716.48"	"236.00"
"8:55"	"1836.49"	"254.33"
"9:00"	"1960.63"	"273.00"
"9:05"	"2113.10"	"290.67"
"9:10"	"2256.80"	"304.00"
"9:15"	"2386.15"	"320.00"
"9:20"	"2528.11"	"338.67"
"9:25"	"2634.98"	"356.00"
"9:30"	"2792.16"	"379.33"
"9:35"	"2998.82"	"409.67"
"9:40"	"3149.59"	"432.67"
"9:45"	"3278.80"	"453.67"
"9:50"	"3401.40"	"473.67"
"9:55"	"3509.30"	"491.33"
"10:00"	"3647.05"	"512.00"
"10:05"	"3797.38"	"532.00"
"10:10"	"3905.95"	"547.00"
"10:15"	"3988.14"	"561.00"
"10:20"	"4040.08"	"570.67"
"10:25"	"4139.86"	"585.33"
"10:30"	"4234.34"	"601.33"
"10:35"	"4345.18"	"619.00"
"10:40"	"4456.36"	"638.00"
"10:45"	"4539.72"	"652.67"
"10:50"	"4619.65"	"664.67"
"10:55"	"4688.44"	"677.00"
"11:00"	"4776.04"	"687.33"
"11:05"	"4869.19"	"705.33"
"11:10"	"4977.70"	"722.00"
"11:15"	"5055.02"	"732.67"
"11:20"	"5093.21"	"741.67"
"11:25"	"5171.28"	"751.67"
"11:30"	"5253.89"	"762.33"
"11:35"	"5335.20"	"779.33"
"11:40"	"5371.33"	"787.67"
"11:45"	"5418.40"	"796.67"
"11:50"	"5454.25"	"801.00"
"11:55"	"5477.52"	"804.00"
"12:00"	"5539.88"	"816.00"
"12:05"	"5570.36"	"823.00"
"12:10"	"5616.97"	"827.67"
"12:15"	"5654.28"	"834.00"
"12:20"	"5707.72"	"842.33"
"12:25"	"5738.35"	"847.00"
"12:30"	"5755.62"	"852.33"
"12:35"	"5788.78"	"857.33"
"12:40"	"5791.62"	"860.00"
"12:45"	"5805.43"	"864.67"
"12:50"	"5784.83"	"863.00"
"12:55"	"5780.63"	"862.67"
"13:00"	"5764.09"	"860.33"
"13:05"	"5783.27"	"862.33"
"13:10"	"5789.59"	"860.67"
