"Period: 28/1/2023 0:00:00 -  6:44:39"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"x"	"-2.00"
"0:05"	"x"	"-1.67"
"0:10"	"x"	"-1.67"
"0:15"	"x"	"-1.67"
"0:20"	"x"	"-1.67"
"0:25"	"x"	"-1.67"
"0:30"	"x"	"x"
"0:35"	"x"	"x"
"0:40"	"x"	"x"
"0:45"	"x"	"x"
"0:50"	"x"	"x"
"0:55"	"x"	"x"
"1:00"	"x"	"x"
"1:05"	"x"	"x"
"1:10"	"x"	"x"
"1:15"	"x"	"x"
"1:20"	"x"	"x"
"1:25"	"x"	"x"
"1:30"	"x"	"x"
"1:35"	"x"	"x"
"1:40"	"x"	"x"
"1:45"	"x"	"x"
"1:50"	"x"	"x"
"1:55"	"x"	"x"
"2:00"	"x"	"x"
"2:05"	"x"	"x"
"2:10"	"x"	"x"
"2:15"	"x"	"x"
"2:20"	"x"	"x"
"2:25"	"x"	"x"
"2:30"	"x"	"x"
"2:35"	"x"	"x"
"2:40"	"x"	"x"
"2:45"	"x"	"x"
"2:50"	"x"	"x"
"2:55"	"x"	"x"
"3:00"	"x"	"x"
"3:05"	"x"	"x"
"3:10"	"x"	"x"
"3:15"	"x"	"x"
"3:20"	"x"	"x"
"3:25"	"x"	"x"
"3:30"	"x"	"x"
"3:35"	"x"	"x"
"3:40"	"x"	"x"
"3:45"	"x"	"x"
"3:50"	"x"	"x"
"3:55"	"x"	"x"
"4:00"	"x"	"x"
"4:05"	"x"	"x"
"4:10"	"x"	"x"
"4:15"	"x"	"x"
"4:20"	"x"	"x"
"4:25"	"x"	"x"
"4:30"	"x"	"x"
"4:35"	"x"	"x"
"4:40"	"x"	"x"
"4:45"	"x"	"x"
"4:50"	"x"	"x"
"4:55"	"x"	"x"
"5:00"	"x"	"x"
"5:05"	"x"	"x"
"5:10"	"x"	"x"
"5:15"	"x"	"x"
"5:20"	"x"	"x"
"5:25"	"x"	"x"
"5:30"	"x"	"x"
"5:35"	"x"	"x"
"5:40"	"x"	"x"
"5:45"	"x"	"x"
"5:50"	"x"	"x"
"5:55"	"x"	"x"
"6:00"	"x"	"x"
"6:05"	"x"	"x"
"6:10"	"x"	"x"
"6:15"	"x"	"x"
"6:20"	"x"	"x"
"6:25"	"x"	"x"
"6:30"	"x"	"x"
"6:35"	"x"	"x"
"6:40"	"x"	"x"
"6:45"	"x"	"x"
"6:50"	"x"	"x"
"6:55"	"x"	"x"
"7:00"	"x"	"x"
"7:05"	"x"	"x"
"7:10"	"x"	"x"
"7:15"	"x"	"x"
"7:20"	"x"	"x"
"7:25"	"x"	"x"
"7:30"	"x"	"x"
"7:35"	"x"	"x"
"7:40"	"x"	"x"
"7:45"	"x"	"x"
"7:50"	"x"	"x"
"7:55"	"x"	"x"
"8:00"	"x"	"x"
"8:05"	"x"	"x"
"8:10"	"x"	"x"
"8:15"	"x"	"x"
"8:20"	"x"	"x"
"8:25"	"x"	"x"
"8:30"	"x"	"x"
"8:35"	"x"	"x"
"8:40"	"x"	"x"
"8:45"	"x"	"x"
"8:50"	"x"	"x"
"8:55"	"x"	"x"
"9:00"	"x"	"x"
"9:05"	"x"	"x"
"9:10"	"x"	"x"
"9:15"	"x"	"x"
"9:20"	"x"	"x"
"9:25"	"x"	"x"
"9:30"	"x"	"x"
"9:35"	"x"	"x"
"9:40"	"x"	"x"
"9:45"	"x"	"x"
"9:50"	"x"	"x"
"9:55"	"x"	"x"
"10:00"	"x"	"x"
"10:05"	"x"	"x"
"10:10"	"x"	"x"
"10:15"	"x"	"x"
"10:20"	"x"	"x"
"10:25"	"x"	"x"
"10:30"	"x"	"x"
"10:35"	"x"	"x"
"10:40"	"x"	"x"
"10:45"	"x"	"x"
"10:50"	"0.02"	"36.00"
"10:55"	"0.48"	"45.67"
"11:00"	"1.58"	"49.00"
"11:05"	"5.71"	"51.33"
"11:10"	"5.35"	"49.33"
"11:15"	"6.54"	"52.33"
"11:20"	"7.86"	"59.00"
"11:25"	"8.54"	"62.00"
"11:30"	"10.08"	"68.67"
"11:35"	"10.24"	"70.00"
"11:40"	"11.34"	"73.00"
"11:45"	"13.10"	"79.33"
"11:50"	"14.81"	"85.67"
"11:55"	"15.41"	"96.67"
"12:00"	"1.66"	"28.33"
"12:05"	"0.00"	"31.00"
"12:10"	"0.00"	"60.00"
"12:15"	"0.00"	"70.00"
"12:20"	"0.00"	"70.00"
"12:25"	"0.00"	"68.00"
"12:30"	"0.42"	"186.33"
"12:35"	"4.02"	"217.33"
"12:40"	"0.65"	"68.00"
"12:45"	"0.00"	"68.67"
"12:50"	"0.00"	"64.33"
"12:55"	"1.07"	"184.67"
"13:00"	"4.32"	"197.33"
"13:05"	"9.50"	"195.33"
"13:10"	"47.03"	"203.33"
"13:15"	"51.16"	"208.00"
"13:20"	"51.17"	"203.33"
"13:25"	"49.85"	"193.33"
"13:30"	"5.47"	"57.67"
"13:35"	"0.00"	"56.00"
"13:40"	"0.00"	"53.00"
"13:45"	"0.00"	"50.33"
