"Period: 18/12/2021 0:00:00 -  21:13:06"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-1.67"
"0:05"	"0.00"	"-2.00"
"0:10"	"0.00"	"-2.33"
"0:15"	"0.00"	"-2.33"
"0:20"	"0.00"	"-1.33"
"0:25"	"0.00"	"-1.67"
"0:30"	"0.00"	"-1.00"
"0:35"	"0.00"	"-1.67"
"0:40"	"0.00"	"-2.00"
"0:45"	"0.00"	"-1.67"
"0:50"	"0.00"	"-1.33"
"0:55"	"0.00"	"-2.00"
"1:00"	"0.00"	"-1.67"
"1:05"	"0.00"	"-1.33"
"1:10"	"0.00"	"-1.67"
"1:15"	"0.00"	"-1.33"
"1:20"	"0.00"	"-1.67"
"1:25"	"0.00"	"-1.33"
"1:30"	"0.00"	"-1.67"
"1:35"	"0.00"	"-1.33"
"1:40"	"0.00"	"-1.33"
"1:45"	"0.00"	"-1.67"
"1:50"	"0.00"	"-1.33"
"1:55"	"0.00"	"-1.67"
"2:00"	"0.00"	"-1.00"
"2:05"	"0.00"	"-4.33"
"2:10"	"0.00"	"8.33"
"2:15"	"0.00"	"12.67"
"2:20"	"0.00"	"-2.00"
"2:25"	"0.00"	"-2.33"
"2:30"	"0.00"	"-2.33"
"2:35"	"0.00"	"-2.67"
"2:40"	"0.00"	"-2.33"
"2:45"	"0.00"	"-3.33"
"2:50"	"0.00"	"-2.67"
"2:55"	"0.00"	"-3.33"
"3:00"	"0.00"	"-3.33"
"3:05"	"0.00"	"-3.33"
"3:10"	"0.00"	"-3.33"
"3:15"	"0.00"	"-3.33"
"3:20"	"0.00"	"-3.67"
"3:25"	"0.00"	"-3.67"
"3:30"	"0.00"	"-4.00"
"3:35"	"0.00"	"-4.33"
"3:40"	"0.00"	"-4.33"
"3:45"	"0.00"	"-4.33"
"3:50"	"0.00"	"-4.00"
"3:55"	"0.00"	"-3.67"
"4:00"	"0.00"	"-4.00"
"4:05"	"0.00"	"-4.00"
"4:10"	"0.00"	"-4.33"
"4:15"	"0.00"	"-4.33"
"4:20"	"0.00"	"-4.00"
"4:25"	"0.00"	"-4.00"
"4:30"	"0.00"	"-4.00"
"4:35"	"0.00"	"-4.00"
"4:40"	"0.00"	"-3.33"
"4:45"	"0.00"	"-3.67"
"4:50"	"0.00"	"-3.33"
"4:55"	"0.00"	"-3.33"
"5:00"	"0.00"	"-3.33"
"5:05"	"0.00"	"-3.67"
"5:10"	"0.00"	"-3.33"
"5:15"	"0.00"	"-3.67"
"5:20"	"0.00"	"-3.33"
"5:25"	"0.00"	"-3.00"
"5:30"	"0.00"	"-3.00"
"5:35"	"0.00"	"-4.00"
"5:40"	"0.00"	"-4.00"
"5:45"	"0.00"	"-4.00"
"5:50"	"0.00"	"-4.33"
"5:55"	"0.00"	"-4.00"
"6:00"	"0.00"	"-3.67"
"6:05"	"0.00"	"-4.00"
"6:10"	"0.00"	"-4.33"
"6:15"	"0.00"	"-4.00"
"6:20"	"0.00"	"-4.00"
"6:25"	"0.00"	"-3.67"
"6:30"	"0.00"	"-3.67"
"6:35"	"0.00"	"-4.33"
"6:40"	"0.00"	"-3.67"
"6:45"	"0.00"	"-3.67"
"6:50"	"0.00"	"-3.33"
"6:55"	"0.00"	"-2.67"
"7:00"	"0.00"	"-3.33"
"7:05"	"0.00"	"-3.67"
"7:10"	"0.00"	"-3.33"
"7:15"	"0.00"	"-3.67"
"7:20"	"0.00"	"-3.00"
"7:25"	"0.00"	"-3.33"
"7:30"	"0.00"	"-3.67"
"7:35"	"0.00"	"-3.33"
"7:40"	"0.00"	"-1.67"
"7:45"	"0.00"	"-2.00"
"7:50"	"0.00"	"-1.33"
"7:55"	"0.22"	"-0.67"
"8:00"	"7.08"	"1.67"
"8:05"	"17.84"	"3.00"
"8:10"	"25.86"	"3.33"
"8:15"	"46.87"	"5.67"
"8:20"	"110.86"	"11.00"
"8:25"	"152.44"	"17.00"
"8:30"	"231.82"	"24.00"
"8:35"	"354.96"	"36.00"
"8:40"	"480.14"	"50.00"
"8:45"	"511.76"	"53.67"
"8:50"	"721.33"	"69.67"
"8:55"	"742.51"	"74.67"
"9:00"	"637.48"	"67.33"
"9:05"	"600.50"	"66.00"
"9:10"	"629.11"	"68.67"
"9:15"	"595.07"	"64.33"
"9:20"	"613.80"	"62.67"
"9:25"	"618.14"	"63.33"
"9:30"	"591.92"	"62.00"
"9:35"	"641.22"	"65.67"
"9:40"	"793.39"	"78.67"
"9:45"	"918.49"	"90.00"
"9:50"	"1008.65"	"97.33"
"9:55"	"1023.01"	"102.00"
"10:00"	"1702.27"	"191.33"
"10:05"	"2965.96"	"392.00"
"10:10"	"3228.38"	"453.33"
"10:15"	"2393.89"	"339.33"
"10:20"	"2860.00"	"393.33"
"10:25"	"2835.43"	"344.00"
"10:30"	"3273.34"	"415.33"
"10:35"	"1664.23"	"217.67"
"10:40"	"1236.05"	"162.00"
"10:45"	"1204.92"	"155.33"
"10:50"	"1203.02"	"152.67"
"10:55"	"1283.56"	"159.67"
"11:00"	"1106.95"	"140.00"
"11:05"	"1185.00"	"149.00"
"11:10"	"1232.83"	"153.33"
"11:15"	"1219.07"	"153.00"
"11:20"	"1188.12"	"150.67"
"11:25"	"1241.03"	"157.00"
"11:30"	"1629.46"	"200.67"
"11:35"	"1827.37"	"224.00"
"11:40"	"2415.66"	"303.67"
"11:45"	"2800.34"	"339.33"
"11:50"	"2391.89"	"311.67"
"11:55"	"3348.49"	"415.67"
"12:00"	"3196.31"	"413.00"
"12:05"	"5332.04"	"677.67"
"12:10"	"5309.42"	"663.67"
"12:15"	"5795.98"	"731.67"
"12:20"	"5424.46"	"694.67"
"12:25"	"5152.39"	"636.00"
"12:30"	"3474.05"	"445.67"
"12:35"	"6131.80"	"783.00"
"12:40"	"6028.91"	"760.67"
"12:45"	"2157.08"	"287.67"
"12:50"	"1647.31"	"216.67"
"12:55"	"1597.09"	"207.67"
"13:00"	"1426.94"	"187.67"
"13:05"	"1243.14"	"163.00"
"13:10"	"1103.90"	"143.67"
"13:15"	"965.82"	"124.67"
"13:20"	"786.07"	"101.67"
"13:25"	"601.10"	"79.33"
"13:30"	"524.52"	"69.00"
"13:35"	"501.36"	"65.67"
"13:40"	"570.35"	"71.67"
"13:45"	"663.23"	"82.67"
"13:50"	"652.88"	"82.00"
"13:55"	"665.59"	"83.67"
"14:00"	"716.46"	"88.67"
"14:05"	"592.68"	"75.67"
"14:10"	"436.81"	"57.00"
"14:15"	"325.36"	"43.67"
"14:20"	"326.16"	"42.00"
"14:25"	"427.58"	"54.00"
"14:30"	"558.70"	"69.00"
"14:35"	"542.84"	"69.33"
"14:40"	"477.72"	"60.67"
"14:45"	"574.67"	"72.00"
"14:50"	"638.98"	"79.67"
"14:55"	"573.77"	"73.67"
"15:00"	"509.71"	"66.67"
"15:05"	"488.88"	"64.67"
"15:10"	"526.87"	"68.00"
"15:15"	"522.12"	"67.67"
"15:20"	"512.41"	"68.33"
"15:25"	"560.48"	"71.33"
"15:30"	"593.02"	"75.00"
"15:35"	"522.22"	"67.33"
"15:40"	"364.10"	"49.00"
"15:45"	"293.51"	"41.00"
"15:50"	"262.49"	"37.00"
"15:55"	"169.92"	"26.00"
"16:00"	"137.45"	"21.67"
"16:05"	"118.00"	"19.00"
"16:10"	"96.20"	"16.00"
"16:15"	"81.40"	"14.33"
"16:20"	"57.82"	"11.00"
"16:25"	"28.18"	"6.67"
"16:30"	"11.65"	"3.67"
"16:35"	"5.94"	"1.67"
"16:40"	"3.46"	"0.67"
"16:45"	"2.38"	"0.00"
"16:50"	"1.90"	"-0.67"
"16:55"	"1.48"	"-0.67"
"17:00"	"1.27"	"-1.33"
"17:05"	"0.12"	"-1.00"
"17:10"	"0.00"	"-1.33"
"17:15"	"0.00"	"-1.67"
"17:20"	"0.00"	"-1.33"
"17:25"	"0.00"	"-2.00"
"17:30"	"0.00"	"-1.67"
"17:35"	"0.00"	"-1.67"
"17:40"	"0.00"	"-1.33"
"17:45"	"0.00"	"-2.00"
"17:50"	"0.00"	"-2.00"
"17:55"	"0.00"	"-2.00"
"18:00"	"0.00"	"-2.00"
"18:05"	"0.00"	"-2.33"
"18:10"	"0.00"	"-2.33"
"18:15"	"0.00"	"-1.67"
"18:20"	"0.00"	"-2.00"
"18:25"	"0.00"	"-1.67"
"18:30"	"0.00"	"-2.00"
"18:35"	"0.00"	"-2.33"
"18:40"	"0.00"	"-2.67"
"18:45"	"0.00"	"-2.00"
"18:50"	"0.00"	"-1.67"
"18:55"	"0.00"	"-1.67"
"19:00"	"0.00"	"-1.67"
"19:05"	"0.00"	"-2.33"
"19:10"	"0.00"	"-1.67"
"19:15"	"0.00"	"-2.33"
"19:20"	"0.00"	"-2.00"
"19:25"	"0.00"	"-2.00"
"19:30"	"0.00"	"-2.67"
"19:35"	"0.00"	"-2.00"
"19:40"	"0.00"	"-2.67"
"19:45"	"0.00"	"-3.33"
"19:50"	"0.00"	"-3.00"
"19:55"	"0.00"	"-2.67"
"20:00"	"0.00"	"-2.33"
"20:05"	"0.00"	"-2.33"
"20:10"	"0.00"	"-2.67"
"20:15"	"0.00"	"-2.33"
"20:20"	"0.00"	"-3.00"
"20:25"	"0.00"	"-2.67"
"20:30"	"0.00"	"-3.00"
"20:35"	"0.00"	"-3.33"
"20:40"	"0.00"	"-3.33"
"20:45"	"0.00"	"-3.00"
"20:50"	"0.00"	"-4.00"
"20:55"	"0.00"	"-3.00"
"21:00"	"0.00"	"-3.33"
"21:05"	"0.00"	"-3.33"
"21:10"	"0.00"	"-3.33"
"21:15"	"0.00"	"-2.67"
"21:20"	"0.00"	"-3.67"
"21:25"	"0.00"	"-3.67"
"21:30"	"0.00"	"-2.33"
"21:35"	"0.00"	"-1.67"
"21:40"	"0.00"	"-2.33"
"21:45"	"0.00"	"-3.67"
"21:50"	"0.00"	"-3.67"
"21:55"	"0.00"	"-3.67"
"22:00"	"0.00"	"-3.00"
"22:05"	"0.00"	"-2.67"
"22:10"	"0.00"	"-3.00"
"22:15"	"0.00"	"-3.33"
"22:20"	"0.00"	"-3.67"
"22:25"	"0.00"	"-3.33"
"22:30"	"0.00"	"-3.00"
"22:35"	"0.00"	"-2.33"
"22:40"	"0.00"	"-2.67"
"22:45"	"0.00"	"-2.33"
"22:50"	"0.00"	"-3.33"
"22:55"	"0.00"	"-2.33"
"23:00"	"0.00"	"-2.00"
"23:05"	"0.00"	"-2.33"
"23:10"	"0.00"	"-2.33"
"23:15"	"0.00"	"-2.67"
"23:20"	"0.00"	"-2.00"
"23:25"	"0.00"	"-2.33"
"23:30"	"0.00"	"-2.00"
"23:35"	"0.00"	"-2.33"
"23:40"	"0.00"	"-2.33"
"23:45"	"0.00"	"-1.67"
"23:50"	"x"	"-1.33"
"23:55"	"x"	"-1.67"
