"Period: 8/7/2023 0:00:00 -  6:56:28"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"1.00"
"0:05"	"0.00"	"1.00"
"0:10"	"0.00"	"0.67"
"0:15"	"0.00"	"1.00"
"0:20"	"0.00"	"1.00"
"0:25"	"0.00"	"1.33"
"0:30"	"0.00"	"1.00"
"0:35"	"0.00"	"0.33"
"0:40"	"0.00"	"0.67"
"0:45"	"0.00"	"0.67"
"0:50"	"0.00"	"1.00"
"0:55"	"0.00"	"0.33"
"1:00"	"0.00"	"1.00"
"1:05"	"0.00"	"0.67"
"1:10"	"0.00"	"1.00"
"1:15"	"0.00"	"1.00"
"1:20"	"0.00"	"0.67"
"1:25"	"0.00"	"1.33"
"1:30"	"0.00"	"0.67"
"1:35"	"0.00"	"1.00"
"1:40"	"0.00"	"1.00"
"1:45"	"0.00"	"1.00"
"1:50"	"0.00"	"1.33"
"1:55"	"0.00"	"1.67"
"2:00"	"0.00"	"1.33"
"2:05"	"0.00"	"-1.00"
"2:10"	"0.00"	"0.67"
"2:15"	"0.00"	"-1.00"
"2:20"	"0.00"	"0.00"
"2:25"	"0.00"	"0.33"
"2:30"	"0.00"	"0.33"
"2:35"	"0.00"	"0.67"
"2:40"	"0.00"	"-0.00"
"2:45"	"0.00"	"0.33"
"2:50"	"0.00"	"0.67"
"2:55"	"0.00"	"0.67"
"3:00"	"0.00"	"0.67"
"3:05"	"0.00"	"0.00"
"3:10"	"0.00"	"0.67"
"3:15"	"0.00"	"1.33"
"3:20"	"0.00"	"1.33"
"3:25"	"0.00"	"1.33"
"3:30"	"0.00"	"1.33"
"3:35"	"0.00"	"1.67"
"3:40"	"0.00"	"1.00"
"3:45"	"0.00"	"1.00"
"3:50"	"0.00"	"1.67"
"3:55"	"0.00"	"1.00"
"4:00"	"0.00"	"1.67"
"4:05"	"0.00"	"1.00"
"4:10"	"0.00"	"1.67"
"4:15"	"0.00"	"1.33"
"4:20"	"0.00"	"1.00"
"4:25"	"0.00"	"1.00"
"4:30"	"0.00"	"1.00"
"4:35"	"0.00"	"1.33"
"4:40"	"0.00"	"1.33"
"4:45"	"0.00"	"1.00"
"4:50"	"0.00"	"1.33"
"4:55"	"0.00"	"1.00"
"5:00"	"0.00"	"1.33"
"5:05"	"0.00"	"1.67"
"5:10"	"0.00"	"1.67"
"5:15"	"0.00"	"1.33"
"5:20"	"0.00"	"1.00"
"5:25"	"0.00"	"1.33"
"5:30"	"0.00"	"1.00"
"5:35"	"0.00"	"1.33"
"5:40"	"0.00"	"1.33"
"5:45"	"0.00"	"2.67"
"5:50"	"0.08"	"3.00"
"5:55"	"0.72"	"3.67"
"6:00"	"4.56"	"3.67"
"6:05"	"8.96"	"5.33"
"6:10"	"16.49"	"7.67"
"6:15"	"25.78"	"9.00"
"6:20"	"55.40"	"13.00"
"6:25"	"101.23"	"18.67"
"6:30"	"127.42"	"23.00"
"6:35"	"130.43"	"24.33"
"6:40"	"127.54"	"23.67"
"6:45"	"104.74"	"21.00"
"6:50"	"75.77"	"17.33"
"6:55"	"58.48"	"15.33"
"7:00"	"32.52"	"11.00"
"7:05"	"34.54"	"10.00"
"7:10"	"74.92"	"15.00"
"7:15"	"62.65"	"14.33"
"7:20"	"59.86"	"12.33"
"7:25"	"93.36"	"15.33"
"7:30"	"79.39"	"14.67"
"7:35"	"104.63"	"17.33"
"7:40"	"108.97"	"18.33"
"7:45"	"101.32"	"18.33"
"7:50"	"89.06"	"18.00"
"7:55"	"99.84"	"18.67"
"8:00"	"120.96"	"21.00"
"8:05"	"150.88"	"24.33"
"8:10"	"192.42"	"29.00"
"8:15"	"246.35"	"35.00"
"8:20"	"316.70"	"43.00"
"8:25"	"410.60"	"54.67"
"8:30"	"537.23"	"68.67"
"8:35"	"676.27"	"84.33"
"8:40"	"821.60"	"101.00"
"8:45"	"1017.67"	"124.00"
"8:50"	"1192.70"	"145.00"
"8:55"	"1368.46"	"165.67"
"9:00"	"1728.91"	"208.00"
"9:05"	"2134.60"	"258.33"
"9:10"	"2393.02"	"292.67"
"9:15"	"2352.24"	"294.33"
"9:20"	"2913.25"	"369.33"
"9:25"	"3115.16"	"407.33"
"9:30"	"2895.26"	"380.00"
"9:35"	"3715.09"	"469.00"
"9:40"	"3255.61"	"448.00"
"9:45"	"4026.88"	"556.33"
"9:50"	"4486.39"	"601.33"
"9:55"	"3002.57"	"408.33"
"10:00"	"3029.14"	"394.33"
"10:05"	"2488.68"	"334.00"
"10:10"	"4949.71"	"640.67"
"10:15"	"5992.48"	"809.67"
"10:20"	"3696.74"	"502.67"
"10:25"	"2755.57"	"380.00"
"10:30"	"4093.60"	"558.67"
"10:35"	"5683.81"	"761.00"
"10:40"	"5149.25"	"713.67"
"10:45"	"4561.21"	"633.33"
"10:50"	"5205.50"	"709.67"
"10:55"	"5341.30"	"729.00"
"11:00"	"6135.13"	"849.00"
"11:05"	"5292.94"	"773.00"
"11:10"	"6072.52"	"824.00"
"11:15"	"6650.51"	"931.00"
"11:20"	"6241.94"	"867.00"
"11:25"	"5826.42"	"796.33"
"11:30"	"6178.08"	"852.33"
"11:35"	"6691.62"	"966.33"
"11:40"	"6058.62"	"887.67"
"11:45"	"4015.00"	"655.33"
"11:50"	"5822.95"	"767.67"
"11:55"	"6826.26"	"942.00"
"12:00"	"6171.34"	"867.67"
"12:05"	"6768.25"	"947.67"
"12:10"	"6858.28"	"945.33"
"12:15"	"7337.30"	"1031.67"
"12:20"	"6952.16"	"993.00"
"12:25"	"4512.85"	"645.33"
"12:30"	"7550.89"	"1131.33"
"12:35"	"7213.74"	"1066.33"
"12:40"	"5493.32"	"812.00"
"12:45"	"7101.95"	"1066.33"
"12:50"	"7197.88"	"1147.33"
"12:55"	"5099.74"	"780.67"
"13:00"	"2025.74"	"287.67"
"13:05"	"2437.55"	"321.00"
"13:10"	"5730.94"	"762.33"
"13:15"	"6849.98"	"945.33"
"13:20"	"6849.61"	"964.33"
"13:25"	"6667.81"	"995.67"
"13:30"	"6690.98"	"974.00"
"13:35"	"7616.18"	"1094.67"
"13:40"	"7531.39"	"1092.00"
"13:45"	"7203.62"	"1047.00"
"13:50"	"6346.20"	"914.33"
"13:55"	"7271.10"	"1033.33"
"14:00"	"6619.19"	"945.00"
"14:05"	"7659.60"	"1126.00"
"14:10"	"7401.72"	"1079.33"
"14:15"	"7354.26"	"1066.33"
"14:20"	"7376.14"	"1068.33"
"14:25"	"7183.57"	"1038.67"
"14:30"	"7105.91"	"1022.67"
"14:35"	"7070.38"	"1038.33"
"14:40"	"6434.00"	"923.67"
"14:45"	"7185.19"	"1024.67"
"14:50"	"6674.87"	"946.33"
"14:55"	"6569.23"	"916.67"
"15:00"	"6663.38"	"938.33"
"15:05"	"6536.76"	"917.67"
