"Period: 15/12/2021 0:00:00 -  21:12:59"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-0.33"
"0:05"	"0.00"	"-1.00"
"0:10"	"0.00"	"-0.67"
"0:15"	"0.00"	"-0.67"
"0:20"	"0.00"	"-0.67"
"0:25"	"0.00"	"-1.00"
"0:30"	"0.00"	"-1.33"
"0:35"	"0.00"	"-0.67"
"0:40"	"0.00"	"-0.67"
"0:45"	"0.00"	"-0.67"
"0:50"	"0.00"	"-1.33"
"0:55"	"0.00"	"-1.00"
"1:00"	"0.00"	"-1.00"
"1:05"	"0.00"	"-0.67"
"1:10"	"0.00"	"-0.67"
"1:15"	"0.00"	"-1.00"
"1:20"	"0.00"	"-1.00"
"1:25"	"0.00"	"-1.00"
"1:30"	"0.00"	"-1.33"
"1:35"	"0.00"	"-1.33"
"1:40"	"0.00"	"-1.33"
"1:45"	"0.00"	"-1.33"
"1:50"	"0.00"	"-1.00"
"1:55"	"0.00"	"-1.00"
"2:00"	"0.00"	"-0.67"
"2:05"	"0.00"	"-3.33"
"2:10"	"0.00"	"-1.67"
"2:15"	"0.00"	"-1.67"
"2:20"	"0.00"	"-1.00"
"2:25"	"0.00"	"-0.67"
"2:30"	"0.00"	"-1.33"
"2:35"	"0.00"	"-0.67"
"2:40"	"0.00"	"-0.67"
"2:45"	"0.00"	"-1.00"
"2:50"	"0.00"	"-1.00"
"2:55"	"0.00"	"-0.67"
"3:00"	"0.00"	"-0.67"
"3:05"	"0.00"	"-0.67"
"3:10"	"0.00"	"-1.00"
"3:15"	"0.00"	"-0.67"
"3:20"	"0.00"	"-0.67"
"3:25"	"0.00"	"-1.00"
"3:30"	"0.00"	"-1.00"
"3:35"	"0.00"	"-0.67"
"3:40"	"0.00"	"-0.67"
"3:45"	"0.00"	"-0.33"
"3:50"	"0.00"	"-1.00"
"3:55"	"0.00"	"-0.67"
"4:00"	"0.00"	"-0.33"
"4:05"	"0.00"	"-1.00"
"4:10"	"0.00"	"-0.67"
"4:15"	"0.00"	"-0.67"
"4:20"	"0.00"	"-1.00"
"4:25"	"0.00"	"-1.00"
"4:30"	"0.00"	"-0.67"
"4:35"	"0.00"	"-1.00"
"4:40"	"0.00"	"-1.00"
"4:45"	"0.00"	"-1.00"
"4:50"	"0.00"	"-1.00"
"4:55"	"0.00"	"-0.67"
"5:00"	"0.00"	"-1.00"
"5:05"	"0.00"	"-0.33"
"5:10"	"0.00"	"-1.00"
"5:15"	"0.00"	"-1.00"
"5:20"	"0.00"	"-1.33"
"5:25"	"0.00"	"-1.00"
"5:30"	"0.00"	"-1.00"
"5:35"	"0.00"	"-1.33"
"5:40"	"0.00"	"-1.33"
"5:45"	"0.00"	"-1.00"
"5:50"	"0.00"	"-0.67"
"5:55"	"0.00"	"-1.00"
"6:00"	"0.00"	"-1.00"
"6:05"	"0.00"	"-1.00"
"6:10"	"0.00"	"-1.33"
"6:15"	"0.00"	"-1.67"
"6:20"	"0.00"	"-1.33"
"6:25"	"0.00"	"-1.67"
"6:30"	"0.00"	"-2.00"
"6:35"	"0.00"	"-1.33"
"6:40"	"0.00"	"-1.33"
"6:45"	"0.00"	"-1.67"
"6:50"	"0.00"	"-1.67"
"6:55"	"0.00"	"-1.33"
"7:00"	"0.00"	"-1.00"
"7:05"	"0.00"	"-1.67"
"7:10"	"0.00"	"-2.00"
"7:15"	"0.00"	"-1.67"
"7:20"	"0.00"	"-1.67"
"7:25"	"0.00"	"-1.00"
"7:30"	"0.00"	"-1.33"
"7:35"	"0.00"	"-1.67"
"7:40"	"0.00"	"-1.33"
"7:45"	"0.01"	"-0.67"
"7:50"	"0.14"	"0.00"
"7:55"	"3.82"	"1.33"
"8:00"	"16.30"	"4.00"
"8:05"	"33.91"	"6.00"
"8:10"	"47.47"	"8.67"
"8:15"	"68.86"	"12.00"
"8:20"	"100.08"	"16.33"
"8:25"	"112.30"	"18.00"
"8:30"	"121.84"	"19.33"
"8:35"	"111.52"	"18.00"
"8:40"	"74.04"	"13.33"
"8:45"	"99.58"	"15.67"
"8:50"	"87.62"	"15.00"
"8:55"	"88.55"	"15.00"
"9:00"	"98.05"	"16.00"
"9:05"	"99.01"	"15.67"
"9:10"	"115.94"	"18.00"
"9:15"	"126.20"	"18.33"
"9:20"	"142.99"	"21.00"
"9:25"	"157.97"	"22.33"
"9:30"	"202.04"	"27.67"
"9:35"	"205.24"	"29.00"
"9:40"	"236.26"	"32.33"
"9:45"	"255.13"	"34.67"
"9:50"	"277.21"	"37.33"
"9:55"	"288.64"	"38.00"
"10:00"	"310.15"	"40.00"
"10:05"	"410.09"	"52.00"
"10:10"	"481.50"	"62.33"
"10:15"	"567.76"	"72.00"
"10:20"	"551.78"	"71.67"
"10:25"	"530.60"	"68.00"
"10:30"	"573.56"	"72.00"
"10:35"	"499.61"	"64.67"
"10:40"	"436.78"	"56.33"
"10:45"	"500.69"	"62.00"
"10:50"	"494.63"	"62.67"
"10:55"	"506.16"	"62.67"
"11:00"	"522.66"	"65.67"
"11:05"	"592.97"	"72.67"
"11:10"	"587.62"	"75.00"
"11:15"	"586.87"	"74.00"
"11:20"	"618.17"	"76.00"
"11:25"	"624.05"	"77.67"
"11:30"	"635.99"	"77.00"
"11:35"	"624.72"	"76.67"
"11:40"	"759.26"	"93.67"
"11:45"	"813.13"	"99.33"
"11:50"	"843.17"	"105.00"
"11:55"	"773.09"	"101.00"
"12:00"	"820.58"	"102.67"
"12:05"	"857.22"	"107.00"
"12:10"	"813.28"	"101.67"
"12:15"	"823.30"	"100.33"
